time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445800000	14.6341	2.97246	5.13218	0.453952	0.23298	lidar	1.8116	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8704	3.11822	5.24403	0.474275	0.240465	radar	3.94845	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0866	3.30973	5.2742	0.510111	0.261579	lidar	2.54669	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.301	3.45604	5.11908	0.531472	0.26954	radar	3.3804	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5173	3.65087	5.17076	0.564952	0.287184	lidar	1.92183	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7286	3.77743	5.11927	0.576324	0.284683	radar	0.687012	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9464	3.93976	5.14712	0.596441	0.289853	lidar	0.273084	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.145	4.08171	4.96613	0.61345	0.292814	radar	1.52708	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3403	4.28495	5.01791	0.646505	0.308897	lidar	1.56318	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5534	4.44277	5.08169	0.660888	0.307804	radar	0.569849	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.727	4.62284	5.06835	0.686785	0.316887	lidar	0.978033	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8876	4.77585	4.73865	0.709224	0.324186	radar	3.46533	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0489	5.00831	4.80571	0.750174	0.345614	lidar	2.68444	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2233	5.15934	4.7749	0.763586	0.342337	radar	0.993045	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3749	5.35761	4.78827	0.792982	0.352886	lidar	0.776792	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5352	5.50618	4.70295	0.806016	0.34918	radar	2.19487	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7119	5.66109	4.70233	0.816129	0.342912	lidar	0.374856	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8641	5.83292	4.60549	0.835922	0.345788	radar	0.636422	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0308	6.0471	4.6836	0.861695	0.353237	lidar	1.36371	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1875	6.24275	4.74565	0.882001	0.35534	radar	1.11059	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3112	6.49385	4.81206	0.922522	0.374843	lidar	2.24898	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4498	6.69113	4.77032	0.944228	0.37779	radar	0.44909	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5836	6.85239	4.7133	0.95562	0.37124	lidar	0.598189	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7344	7.06154	4.85298	0.97229	0.368866	radar	0.707266	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9167	7.23278	4.85778	0.972283	0.353337	lidar	2.9549	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0129	7.41121	4.61546	0.996791	0.360421	radar	3.5685	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1075	7.68326	4.71342	1.03987	0.381916	lidar	2.67682	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2303	7.88691	4.75278	1.0567	0.379626	radar	0.193089	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3084	8.11176	4.7449	1.08857	0.390351	lidar	1.69446	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4082	8.3211	4.7979	1.10822	0.389565	radar	2.13302	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.494	8.47825	4.67349	1.12011	0.38257	lidar	2.82555	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.589	8.67722	4.603	1.13891	0.382717	radar	0.387487	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7369	8.8752	4.62841	1.14139	0.36906	lidar	3.80767	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.818	9.08336	4.53068	1.16469	0.374057	radar	0.825811	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9408	9.32915	4.6302	1.18089	0.372633	lidar	3.3949	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9988	9.52584	4.43135	1.20727	0.380729	radar	2.09702	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0816	9.77978	4.52546	1.2331	0.386956	lidar	1.27983	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1462	10.0302	4.66097	1.25946	0.392091	radar	7.5962	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1968	10.3165	4.77516	1.29539	0.406277	lidar	1.52857	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.226	10.5267	4.57076	1.32628	0.41722	radar	3.25123	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2815	10.8195	4.71787	1.35756	0.426772	lidar	2.5955	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3143	11.0728	4.76431	1.38635	0.433033	radar	5.18288	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3462	11.3214	4.79	1.41272	0.437059	lidar	0.10052	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3211	11.5221	4.42121	1.45706	0.460576	radar	11.7991	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3796	11.7843	4.52607	1.47445	0.456737	lidar	4.2248	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3994	12.0245	4.7069	1.49345	0.450522	radar	3.34841	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3837	12.3346	4.86814	1.53365	0.465998	lidar	1.9358	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3548	12.539	4.57348	1.57231	0.483252	radar	4.33683	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3699	12.7944	4.63662	1.59311	0.480981	lidar	1.37807	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.367	13.0061	4.54444	1.61594	0.480951	radar	1.89538	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3287	13.2255	4.52771	1.64739	0.486808	lidar	1.11412	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.297	13.4484	4.53604	1.67462	0.488709	radar	1.39351	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2641	13.7338	4.67878	1.70405	0.493721	lidar	1.64174	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2213	13.9409	4.5485	1.7343	0.500379	radar	1.09749	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1554	14.2212	4.68938	1.76915	0.509262	lidar	0.97761	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
